folder	title	drive_file_id	size_bytes	modified_time	local_path
00_Source_Registry	운곡본초학_SOURCE_REGISTRY.md	1XpDla130a5u9vFFjPyL_qW0csGTgOpou	1997	2026-09-09T13:49:55.852Z	/home/user/Samindang/_tools/reports/kb_snapshot/00_Source_Registry/운곡본초학_SOURCE_REGISTRY.md
00_Source_Registry	운곡본초학_SOURCE_REGISTRY_v0.1_ARCHIVE.md	14diqSLkKyeiB6Y_mhlawH-MYIRAZbLxt	1766	2026-09-09T13:49:19.303Z	/home/user/Samindang/_tools/reports/kb_snapshot/00_Source_Registry/운곡본초학_SOURCE_REGISTRY_v0.1_ARCHIVE.md
00_Source_Registry	운곡본초학_논리분할_MANIFEST.md	1AEKN-B8JfevZE1m1xbNc1tPLsn5gZNGb	1912	2026-09-09T13:48:02.518Z	/home/user/Samindang/_tools/reports/kb_snapshot/00_Source_Registry/운곡본초학_논리분할_MANIFEST.md
02_효능-병기색인	보신-근골_INDEX.md	1t-iIYxM3OBmiulas5XDMdPayvarqBw70	742	2026-09-09T21:11:40.323Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/보신-근골_INDEX.md
02_효능-병기색인	비뇨-수삽_INDEX.md	15i7bxkQQ2jFfQ4vNQuVHjxiwyjDTePkh	990	2026-09-09T21:11:33.769Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/비뇨-수삽_INDEX.md
02_효능-병기색인	담습-화담강역_INDEX.md	1SdcHPZUiKHIKDseKVFtLAttPqsczZ6CX	692	2026-09-09T21:06:27.355Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/담습-화담강역_INDEX.md
02_효능-병기색인	비위기체-소식_INDEX.md	1AosMcHs9GLuEwPr3C-j40Svu4iJSWsTi	811	2026-09-09T21:06:20.859Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/비위기체-소식_INDEX.md
02_효능-병기색인	허한-온경지혈_INDEX.md	15VbMXn4DA73EEQB5dBsMIaXngRYR86GT	422	2026-09-09T20:59:04.978Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/허한-온경지혈_INDEX.md
02_효능-병기색인	어혈-활혈_INDEX.md	1s1dpeHQ4EhXu7s0rC5gaCGlcIKC587X-	430	2026-09-09T20:58:58.322Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/어혈-활혈_INDEX.md
02_효능-병기색인	불면-안신_INDEX.md	1R6aDGczeHuydH23BM4ElNawL6e9nuMXR	558	2026-09-09T20:58:51.887Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/불면-안신_INDEX.md
02_효능-병기색인	간기울-이기조경_INDEX.md	1uaoUqImsUz5-XIE0rX08zRTTh3-sDEhQ	492	2026-09-09T20:58:45.338Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/간기울-이기조경_INDEX.md
02_효능-병기색인	혈허-보혈_INDEX.md	1fO-kkQWvO5xhDF28y88tIkIQkA0G6MkK	513	2026-09-09T20:58:38.746Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/혈허-보혈_INDEX.md
02_효능-병기색인	기허-보기_INDEX.md	1DJ-xIIq3rZnIssI56PFzV0mOyI0PAe2S	539	2026-09-09T20:58:31.862Z	/home/user/Samindang/_tools/reports/kb_snapshot/02_효능-병기색인/기허-보기_INDEX.md
03_배오색인	핵심배오_INDEX.md	1XusO0wavkiXeKxKd7ycznAWblfM5FULv	1431	2026-09-09T21:06:51.326Z	/home/user/Samindang/_tools/reports/kb_snapshot/03_배오색인/핵심배오_INDEX.md
04_안전성색인	핵심주의_INDEX.md	1KR1iaAj-6s22T8W3hY2Vu2WBXOYvbb5d	1392	2026-09-09T21:07:02.099Z	/home/user/Samindang/_tools/reports/kb_snapshot/04_안전성색인/핵심주의_INDEX.md
07_본초_Library	00_본초_INDEX.md	1AbqfYyvdJWj__KXbRuEUCtcPmpa3Ah5e	4776	2026-09-09T21:11:49.707Z	/home/user/Samindang/_tools/reports/kb_snapshot/07_본초_Library/00_본초_INDEX.md
임상지식베이스	00_INDEX.md	1LG4Xj9SPhCyRivtZL1dvfsdZpuEhHLha	3841	2026-09-09T13:49:41.416Z	/home/user/Samindang/_tools/reports/kb_snapshot/임상지식베이스/00_INDEX.md
임상지식베이스	검수기록_2026-09-09.md	1SIbvYHylAoASe_LpNRpJktaw0ilWGQx0	1677	2026-09-09T09:47:22.192Z	/home/user/Samindang/_tools/reports/kb_snapshot/임상지식베이스/검수기록_2026-09-09.md
