drive_file_id,title,herb_ko,herb_hanja,latin_drug_name,category,subcategory,source_book,source_volume,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,status,ocr_uncertain,safety_flags,last_reviewed,file_size_bytes,created_time,modified_time,has_frontmatter,schema_variant,wikilinks,notes
1drLyVuDgk119P1Krw-L8q4Nh0IC7SYfW,,,,,,,운곡본초학,,,,,,PENDING,true,,2026-09-09,1521,2026-09-09T13:48:12.035Z,2026-09-09T13:48:12.035Z,TRUE,V2,,key variant: source_pdf_page_start; key variant: source_pdf_page_end; frontmatter title empty; filename=_TEMPLATE_본초.md
1wlwUfkVoWwKxK9gQ0V1o8z1K8YEZU_Bh,가자 詞子,가자,詞子,Terminaliae Fructus,수삽약,지사·수렴약,운곡본초학,하,1375,1377,626,629,SOURCE_INGESTED,true,[],2026-09-10,7905,2026-09-09T22:20:00.727Z,2026-09-09T22:20:00.727Z,TRUE,V2,핵심주의_INDEX;수삽약,
1FLIvc68ygsLh6BHDTKMkUBxwzU3rF6ln,감송향 甘松香,감송향,甘松香,Nardostachyos Radix et Rhizoma,이기약,,운곡본초학,하,852,856,103,108,SOURCE_INGESTED,true,[],2026-09-10,7824,2026-09-09T22:20:08.467Z,2026-09-09T22:20:08.467Z,TRUE,V2,핵심주의_INDEX;이기약,
12wKmfpNGe4zasxUCXSbEGJGcSWm1Ez2w,감초 甘草,감초,甘草,Glycyrrhizae Radix et Rhizoma,보익약/보기약,,운곡본초학,하,1219,1224,,,SSOT,false,,2026-09-10,1850,2026-09-09T20:55:37.630Z,2026-09-09T20:55:37.630Z,TRUE,V2,,
1EY1BRYcX7Ic1GcsPlrOKHyfDM1tPQCX6,강황 黃,강황,黃,Curcumae Longae Rhizoma,활혈거어약,,운곡본초학,하,954,956,205,208,SOURCE_INGESTED,true,[],2026-09-10,9283,2026-09-09T22:20:18.512Z,2026-09-09T22:20:18.512Z,TRUE,V2,핵심주의_INDEX;활혈거어약,"SNIPPET_TRUNCATED: body text cut (9185 of 9283 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1PJT1i5hGK1FlKUs7ecqcuP0Xj5J8eN7J,건칠 乾漆,건칠,乾漆,Lacca Rhois Exsiccata,활혈거어약,,운곡본초학,하,1001,1005,252,257,SOURCE_INGESTED,true,[],2026-09-10,11699,2026-09-09T22:20:26.420Z,2026-09-09T22:20:26.420Z,TRUE,V2,핵심주의_INDEX;활혈거어약,"SNIPPET_TRUNCATED: body text cut (9814 of 11699 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1RcGHwOIO0R1TnTBjUNQIQI1dTSpCER-e,검실 英實,검실,英實,Euryales Semen,수삽약,삽정·축뇨·지대약,운곡본초학,하,1404,1405,655,657,SOURCE_INGESTED,true,[],2026-09-10,6345,2026-09-09T22:20:33.928Z,2026-09-09T22:20:33.928Z,TRUE,V2,핵심주의_INDEX;수삽약,
1xHV8DQZBwxi-_7OADduAES15Mcf7u1kS,결명자 決明子,결명자,決明子,Cassiae Semen,평간식풍약,평간식풍약,운곡본초학,하,1154,1156,405,408,SOURCE_INGESTED,true,[],2026-09-10,6713,2026-09-09T22:20:41.994Z,2026-09-09T22:20:41.994Z,TRUE,V2,핵심주의_INDEX;평간식풍약,
1FfhdAGPG62TQNIGEj5aviBE5be3Mtmu-,경분 輕粉,경분,輕粉,Calomelas,외용약,광물·독성 외용/내복 주의,운곡본초학,하,1444,1447,695,699,SOURCE_INGESTED,true,"[""MERCURY"", ""HEAVY_METAL"", ""HIGH_RISK""]",2026-09-10,11129,2026-09-09T22:20:49.971Z,2026-09-09T22:20:49.971Z,TRUE,V2,핵심주의_INDEX;외용약,"SNIPPET_TRUNCATED: body text cut (9857 of 11129 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1hmy-UntL90MhB5b7fK7eChefAECBd2SH,계내금 鶴內金,계내금,鶴內金,Galli Gigeriae Endothelium Corneum,소식약,,운곡본초학,하,868,872,119,124,SOURCE_INGESTED,true,[],2026-09-10,10221,2026-09-09T22:20:57.745Z,2026-09-09T22:20:57.745Z,TRUE,V2,핵심주의_INDEX;소식약,"SNIPPET_TRUNCATED: body text cut (9652 of 10221 bytes shown); frontmatter block complete, wikilink list may be incomplete"
