# 원서 표기(한자) -> 한국어 처방명. 여기 없는 처방은 한자 그대로 두고 review 대상으로 남긴다.
# 확실한 표준 방제명만 등재한다. 추정 독음을 넣지 않는다.
縮泉丸	축천환
六味地黃丸	육미지황환
八味地黃丸	팔미지황환
獨活寄生湯	독활기생탕
四君子湯	사군자탕
四物湯	사물탕
八物湯	팔물탕
十全大補湯	십전대보탕
補中益氣湯	보중익기탕
六君子湯	육군자탕
二陳湯	이진탕
半夏白朮天麻湯	반하백출천마탕
歸脾湯	귀비탕
酸棗仁湯	산조인탕
天王補心丹	천왕보심단
溫膽湯	온담탕
小柴胡湯	소시호탕
大柴胡湯	대시호탕
逍遙散	소요산
加味逍遙散	가미소요산
平胃散	평위산
藿香正氣散	곽향정기산
五苓散	오령산
五皮飮	오피음
眞武湯	진무탕
理中湯	이중탕
桂枝湯	계지탕
麻黃湯	마황탕
葛根湯	갈근탕
小靑龍湯	소청룡탕
生脈散	생맥산
血府逐瘀湯	혈부축어탕
桃紅四物湯	도홍사물탕
桂枝茯苓丸	계지복령환
當歸鬚散	당귀수산
芍藥甘草湯	작약감초탕
甘麥大棗湯	감맥대조탕
右歸飮	우귀음
左歸飮	좌귀음
腎氣丸	신기환
五子衍宗丸	오자연종환
金鎖固精丸	금쇄고정환
桑螵蛸散	상표초산
玉屛風散	옥병풍산
牡蠣散	모려산
當歸六黃湯	당귀육황탕
淸心蓮子飮	청심연자음
萆薢分淸飮	비해분청음
開心散	개심산
聰明湯	총명탕
