# 기존 KB(Drive 01_약재별) 에서 관찰된 한자표제 -> 한국어 약재명 매핑.
# provenance: 2026-09-10 Drive inventory. hanja 열에는 OCR 오인식이 포함될 수 있으므로
# ocr_uncertain=true 인 행은 '관찰값'일 뿐 정본이 아니다. 원서 대조 후에만 정본으로 승격한다.
hanja	herb_ko	kb_status	kb_ocr_uncertain
* 腹皮	대복피	SOURCE_INGESTED	true
ᄎ莉	대계	SOURCE_INGESTED	true
三七根	삼칠근	SOURCE_INGESTED	true
三棱	삼릉	SOURCE_INGESTED	true
丹參	단삼	SSOT	false
乾漆	건칠	SOURCE_INGESTED	true
五味子	오미자	PARTIAL	false
人蔘	인삼	PARTIAL	true
代赫石	대자석	SOURCE_INGESTED	true
使君子	사군자	SOURCE_INGESTED	true
儒稻根	나도근	SOURCE_INGESTED	true
冬瓜子	동과자	SOURCE_INGESTED	true
冬蟲夏草	동충하초	SOURCE_INGESTED	true
冰片	빙편	SOURCE_INGESTED	true
凌霄花	능소화	SOURCE_INGESTED	true
半夏	반하	PARTIAL	false
卷柏	권백	SOURCE_INGESTED	true
大	대조	SOURCE_INGESTED	true
大風子	대풍자	SOURCE_INGESTED	true
山査	산사	SSOT	false
山茱萸	산수유	SSOT	false
山藥	산약	SOURCE_INGESTED	true
川芎	천궁	PARTIAL	false
常山	상산	SOURCE_INGESTED	true
批把葉	비파엽	SOURCE_INGESTED	true
拘祀子	구기자	SOURCE_INGESTED	true
斑蜜	반모	SOURCE_INGESTED	true
昆布	곤포	SOURCE_INGESTED	true
木樓皮	목근피	SOURCE_INGESTED	true
木香	목향	SSOT	false
杜仲	두충	SSOT	false
枯梗	길경	SOURCE_INGESTED	true
柏子仁	백자인	SSOT	false
桃仁	도인	SOURCE_INGESTED	true
桑搭子	상심자	SOURCE_INGESTED	true
桑白皮	상백피	SOURCE_INGESTED	true
桑螵蛸	상표초	SSOT	false
棚砂	붕사	SOURCE_INGESTED	true
植香	단향	SOURCE_INGESTED	true
極子	비자	SOURCE_INGESTED	true
槐花	괴화	SOURCE_INGESTED	true
款冬花	관동화	SOURCE_INGESTED	true
決明子	결명자	SOURCE_INGESTED	true
沒藥	몰약	SOURCE_INGESTED	true
沙参	사삼	SOURCE_INGESTED	true
沙苑漠黎	사원질려	SOURCE_INGESTED	true
浮小麥	부소맥	SOURCE_INGESTED	true
濱挪	빈랑	SOURCE_INGESTED	true
烏藥	오약	SSOT	false
熟地黃	숙지황	PARTIAL	true
爐甘石	노감석	SOURCE_INGESTED	true
牛膝	우슬	SSOT	false
牡廳	모려	SOURCE_INGESTED	true
狗脊	구척	SOURCE_INGESTED	true
玄胡索	현호색	PARTIAL	false
玫瑰花	매괴화	SOURCE_INGESTED	true
瓜萎	과루	SOURCE_INGESTED	true
瓜蒂	과체	SOURCE_INGESTED	true
甘松香	감송향	SOURCE_INGESTED	true
甘草	감초	SSOT	false
當歸	당귀	PARTIAL	true
白 S	백급	SOURCE_INGESTED	true
白前	백전	SOURCE_INGESTED	true
白扁豆	백편두	SOURCE_INGESTED	true
白攀	백반	SOURCE_INGESTED	true
白朮	백출	PARTIAL	true
白果	백과	SOURCE_INGESTED	true
白歹畫裳	백강잠	SOURCE_INGESTED	true
白芍藥	백작약	PARTIAL	true
白芥子	백개자	SOURCE_INGESTED	true
白茅根	백모근	SOURCE_INGESTED	true
白部根	백부근	SOURCE_INGESTED	true
白附子	백부자	SOURCE_INGESTED	true
百合	백합	SOURCE_INGESTED	true
益智仁	익지인	SSOT	false
石決明	석결명	SOURCE_INGESTED	true
石溜皮	석류피	SOURCE_INGESTED	true
石葛蒲	석창포	SOURCE_INGESTED	true
石解	석곡	SOURCE_INGESTED	true
础石	비석	SOURCE_INGESTED	true
神麴	신곡	SSOT	false
穀芽	곡아	SOURCE_INGESTED	true
胖* 海	반대해	SOURCE_INGESTED	true
膽攀	담반	SOURCE_INGESTED	true
艾葉	애엽	SSOT	false
苦棟皮	고련피	SOURCE_INGESTED	true
英實	검실	SOURCE_INGESTED	true
菊莫	무이	SOURCE_INGESTED	true
菟絲子	토사자	PARTIAL	false
萊酿子	나복자	SOURCE_INGESTED	true
蓬求	봉출	SOURCE_INGESTED	true
蛇!101	구인	SOURCE_INGESTED	true
蛇床子	사상자	SOURCE_INGESTED	true
蜂蜜	봉밀	SOURCE_INGESTED	true
補骨脂	보골지	SSOT	false
覆盆子	복분자	SSOT	false
詞子	가자	SOURCE_INGESTED	true
貫衆	관중	SOURCE_INGESTED	true
赛香	사향	SOURCE_INGESTED	true
輕粉	경분	SOURCE_INGESTED	true
遠志	원지	SSOT	false
酸棗仁	산조인	SSOT	false
